Trial,Reward,Strategy
227,1,EpsilonGreedy
228,0,EpsilonGreedy
229,0,EpsilonGreedy
230,1,EpsilonGreedy
231,1,EpsilonGreedy
232,0,EpsilonGreedy
233,0,EpsilonGreedy
234,0,EpsilonGreedy
235,1,EpsilonGreedy
236,0,EpsilonGreedy
237,0,EpsilonGreedy
238,0,EpsilonGreedy
239,0,EpsilonGreedy
240,0,EpsilonGreedy
241,0,EpsilonGreedy
242,1,EpsilonGreedy
243,1,EpsilonGreedy
244,0,EpsilonGreedy
245,0,EpsilonGreedy
246,0,EpsilonGreedy
247,0,EpsilonGreedy
248,0,EpsilonGreedy
249,0,EpsilonGreedy
250,0,EpsilonGreedy
251,0,EpsilonGreedy
252,0,EpsilonGreedy
253,0,EpsilonGreedy
254,1,EpsilonGreedy
255,1,EpsilonGreedy
256,0,EpsilonGreedy
257,1,EpsilonGreedy
258,1,EpsilonGreedy
259,0,EpsilonGreedy
260,0,EpsilonGreedy
261,1,EpsilonGreedy
262,1,EpsilonGreedy
263,0,EpsilonGreedy
264,1,EpsilonGreedy
265,0,EpsilonGreedy
266,0,EpsilonGreedy
267,0,EpsilonGreedy
268,0,EpsilonGreedy
269,0,EpsilonGreedy
270,0,EpsilonGreedy
271,1,EpsilonGreedy
272,0,EpsilonGreedy
273,0,EpsilonGreedy
274,1,EpsilonGreedy
275,1,EpsilonGreedy
276,1,EpsilonGreedy
277,1,EpsilonGreedy
278,1,EpsilonGreedy
279,0,EpsilonGreedy
280,1,EpsilonGreedy
281,0,EpsilonGreedy
282,1,EpsilonGreedy
283,0,EpsilonGreedy
284,1,EpsilonGreedy
285,1,EpsilonGreedy
286,0,EpsilonGreedy
287,0,EpsilonGreedy
288,0,EpsilonGreedy
289,0,EpsilonGreedy
290,0,EpsilonGreedy
291,1,EpsilonGreedy
292,0,EpsilonGreedy
293,0,EpsilonGreedy
294,0,EpsilonGreedy
295,0,EpsilonGreedy
296,1,EpsilonGreedy
297,0,EpsilonGreedy
298,0,EpsilonGreedy
299,0,EpsilonGreedy
300,0,EpsilonGreedy
301,1,EpsilonGreedy
302,1,EpsilonGreedy
303,1,EpsilonGreedy
304,0,EpsilonGreedy
305,0,EpsilonGreedy
306,0,EpsilonGreedy
307,1,EpsilonGreedy
308,0,EpsilonGreedy
309,1,EpsilonGreedy
310,0,EpsilonGreedy
311,0,EpsilonGreedy
312,0,EpsilonGreedy
313,0,EpsilonGreedy
314,0,EpsilonGreedy
